Method,Base_Model,Size_Reduction_Pct,F1_Score
N/A,resnet10t,0.0,0.2977
Quantisation,resnet10,0.0,0.3217
Quantisation,resnet10,0.0,0.3231
Quantisation,resnet10,50.0,0.321
Quantisation,resnet10,50.0,0.3226
RGP,resnet10t,3.27,0.3082
RGP,resnet10t,8.41,0.2966
RGP,resnet10t,16.06,0.3076
RGP,resnet10t,21.69,0.2852
RGP,resnet10t,27.6,0.275
NAS+KD,resnet10t,43.08,0.3305
